s16_256_128_2_0.c,774,1060,1054,929,854,787
s16_256_128_2_1.c,773,1070,1056,927,834,792
s16_256_128_2_2.c,762,1060,1047,937,848,844
s16_256_128_2_3.c,768,1087,1052,925,831,792
s16_256_128_2_4.c,767,1069,1065,937,841,790
s16_256_128_2_5.c,762,1060,1066,923,832,790
s16_256_128_4_0.c,762,1061,1048,938,832,798
s16_256_128_4_1.c,768,1060,1056,954,845,787
s16_256_128_4_2.c,761,1059,1065,981,841,802
s16_256_128_4_3.c,771,1068,1063,987,834,795
s16_256_128_4_4.c,772,1068,1047,944,828,804
s16_256_128_4_5.c,762,1060,1055,991,828,802
s16_256_128_8_0.c,761,1077,1070,918,837,801
s16_256_128_8_1.c,761,1071,1050,921,844,798
s16_256_128_8_2.c,761,1071,1055,934,829,794
s16_256_128_8_3.c,772,1069,1057,941,848,794
s16_256_128_8_4.c,773,1065,1057,928,844,790
s16_256_128_8_5.c,776,1075,1059,934,839,794
s16_256_16384_2_0.c,754,1059,1052,904,824,786
s16_256_16384_2_1.c,751,1049,1069,907,834,790
s16_256_16384_2_2.c,760,1054,1065,916,831,786
s16_256_16384_2_3.c,755,1052,1061,913,840,797
s16_256_16384_2_4.c,755,1062,1051,903,836,788
s16_256_16384_2_5.c,751,1048,1061,913,828,788
s16_256_16384_4_0.c,754,1087,1073,915,827,792
s16_256_16384_4_1.c,754,1055,1059,903,827,795
s16_256_16384_4_2.c,754,1068,1067,904,825,800
s16_256_16384_4_3.c,754,1058,1060,906,827,790
s16_256_16384_4_4.c,753,1064,1052,903,824,785
s16_256_16384_4_5.c,764,1056,1066,905,831,792
s16_256_16384_8_0.c,755,1058,1059,909,826,796
s16_256_16384_8_1.c,754,1064,1064,908,825,786
s16_256_16384_8_2.c,766,1050,1053,908,834,786
s16_256_16384_8_3.c,768,1059,1051,908,826,786
s16_256_16384_8_4.c,769,1059,1051,917,825,788
s16_256_16384_8_5.c,755,1060,1055,907,834,785
s16_256_2048_2_0.c,750,1047,1062,903,837,791
s16_256_2048_2_1.c,767,1049,1048,907,832,793
s16_256_2048_2_2.c,764,1053,1048,902,830,785
s16_256_2048_2_3.c,755,1058,1059,911,827,787
s16_256_2048_2_4.c,758,1046,1069,915,824,785
s16_256_2048_2_5.c,753,1067,1048,902,825,789
s16_256_2048_4_0.c,762,1052,1055,902,846,791
s16_256_2048_4_1.c,763,1047,1048,918,836,794
s16_256_2048_4_2.c,764,1047,1048,904,838,786
s16_256_2048_4_3.c,750,1056,1059,906,847,799
s16_256_2048_4_4.c,749,1048,1050,905,828,790
s16_256_2048_4_5.c,758,1065,1066,921,827,791
s16_256_2048_8_0.c,763,1049,1048,916,827,794
s16_256_2048_8_1.c,765,1058,1064,903,837,797
s16_256_2048_8_2.c,767,1048,1047,918,845,801
s16_256_2048_8_3.c,764,1055,1048,906,834,787
s16_256_2048_8_4.c,749,1061,1049,920,831,791
s16_256_2048_8_5.c,749,1060,1048,912,826,791
s16_256_256_2_0.c,756,1062,1068,928,846,788
s16_256_256_2_1.c,763,1060,1068,933,834,794
s16_256_256_2_2.c,784,1072,1087,940,833,796
s16_256_256_2_3.c,776,1097,1086,932,845,815
s16_256_256_2_4.c,756,1063,1129,936,840,789
s16_256_256_2_5.c,772,1068,1062,921,831,785
s16_256_256_4_0.c,757,1072,1070,945,830,793
s16_256_256_4_1.c,757,1053,1068,941,829,801
s16_256_256_4_2.c,759,1064,1079,937,832,796
s16_256_256_4_3.c,757,1052,1063,945,827,791
s16_256_256_4_4.c,757,1061,1080,927,829,786
s16_256_256_4_5.c,757,1056,1063,941,832,802
s16_256_256_8_0.c,769,1070,1080,957,830,793
s16_256_256_8_1.c,767,1070,1061,924,844,802
s16_256_256_8_2.c,766,1057,1080,938,849,801
s16_256_256_8_3.c,763,1057,1066,934,832,803
s16_256_256_8_4.c,767,1054,1073,929,828,787
s16_256_256_8_5.c,759,1058,1062,934,829,802
s16_256_4096_2_0.c,750,1060,1051,912,828,794
s16_256_4096_2_1.c,750,1048,1059,920,834,790
s16_256_4096_2_2.c,750,1048,1067,904,825,791
s16_256_4096_2_3.c,759,1049,1050,902,830,804
s16_256_4096_2_4.c,750,1060,1061,919,840,787
s16_256_4096_2_5.c,749,1049,1057,922,824,791
s16_256_4096_4_0.c,751,1053,1066,906,834,788
s16_256_4096_4_1.c,752,1058,1076,906,825,791
s16_256_4096_4_2.c,765,1066,1050,917,828,802
s16_256_4096_4_3.c,759,1048,1051,914,825,787
s16_256_4096_4_4.c,750,1050,1050,921,828,802
s16_256_4096_4_5.c,769,1120,1064,908,832,803
s16_256_4096_8_0.c,752,1048,1065,907,828,790
s16_256_4096_8_1.c,768,1065,1061,919,827,788
s16_256_4096_8_2.c,765,1059,1058,909,831,788
s16_256_4096_8_3.c,751,1058,1058,905,838,788
s16_256_4096_8_4.c,751,1054,1052,924,840,791
s16_256_4096_8_5.c,756,1062,1060,907,829,791
s16_256_512_2_0.c,752,1070,1083,915,839,790
s16_256_512_2_1.c,756,1056,1065,917,836,794
s16_256_512_2_2.c,752,1049,1053,924,833,794
s16_256_512_2_3.c,765,1060,1063,930,850,803
s16_256_512_2_4.c,753,1061,1068,925,853,814
s16_256_512_2_5.c,751,1072,1068,925,834,801
s16_256_512_4_0.c,769,1076,1066,930,850,801
s16_256_512_4_1.c,752,1062,1070,929,837,786
s16_256_512_4_2.c,752,1061,1059,958,846,795
s16_256_512_4_3.c,762,1072,1071,924,846,815
s16_256_512_4_4.c,765,1070,1070,936,853,801
s16_256_512_4_5.c,757,1067,1112,916,839,765
s16_256_512_8_0.c,728,1028,1013,927,808,764
s16_256_512_8_1.c,759,1010,1040,906,812,763
s16_256_512_8_2.c,726,1017,1036,920,828,786
s16_256_512_8_3.c,756,1040,1019,881,810,762
s16_256_512_8_4.c,743,1034,1020,894,807,785
s16_256_512_8_5.c,744,1027,1029,912,820,759
s16_256_64_2_0.c,768,1063,1009,892,821,763
s16_256_64_2_1.c,767,1049,1023,892,800,764
s16_256_64_2_2.c,773,1062,1035,891,801,763
s16_256_64_2_3.c,776,1062,1027,886,794,761
s16_256_64_2_4.c,762,1048,1022,867,793,782
s16_256_64_2_5.c,751,1043,1024,894,792,761
s16_256_64_4_0.c,771,1063,1026,896,826,768
s16_256_64_4_1.c,751,1042,1024,886,828,760
s16_256_64_4_2.c,764,1067,1012,879,826,766
s16_256_64_4_3.c,775,1039,1033,930,832,762
s16_256_64_4_4.c,749,1035,1021,894,800,766
s16_256_64_4_5.c,747,1054,1018,896,804,768
s16_256_64_8_0.c,765,1054,1019,891,827,790
s16_256_64_8_1.c,743,1058,1017,862,801,789
s16_256_64_8_2.c,765,1065,1011,937,830,789
s16_256_64_8_3.c,764,1068,1039,920,802,790
s16_256_64_8_4.c,752,1062,1034,935,830,822
s16_256_64_8_5.c,776,1066,1035,876,809,795
s16_256_8192_2_0.c,744,1011,1032,873,792,760
