s9n_2048_4096_1_y.c,657,511,514,502,507,512,509,505
s9n_2048_4096_2_z.c,654,549,562,539,546,552,550,507
s9n_2048_4096_4_x.c,655,514,545,510,505,510,507,505
s9n_2048_512_0_y.c,551,371,369,407,428,524,485,525
s9n_2048_512_1_z.c,592,411,422,426,422,490,488,483
s9n_2048_512_3_x.c,582,410,371,423,427,528,491,481
s9n_2048_512_4_y.c,585,392,368,431,420,526,480,479
s9n_2048_64_0_z.c,474,310,360,378,360,486,460,459
s9n_2048_64_2_x.c,494,299,359,319,314,495,483,468
s9n_2048_64_3_y.c,472,363,374,377,353,478,495,461
s9n_2048_64_4_z.c,509,325,307,372,315,464,463,460
s9n_2048_8192_1_x.c,642,507,533,547,552,534,538,508
s9n_2048_8192_2_y.c,618,502,563,505,507,510,538,504
s9n_2048_8192_3_z.c,646,537,541,543,550,510,548,544
s9n_256_1024_0_x.c,557,439,386,394,432,569,601,591
s9n_256_1024_1_y.c,562,389,389,403,382,595,595,600
s9n_256_1024_2_z.c,560,388,442,436,426,570,599,522
s9n_256_1024_4_x.c,532,430,433,381,384,595,562,598
s9n_256_128_0_y.c,435,273,258,237,259,428,402,398
s9n_256_128_1_z.c,425,249,229,229,233,427,425,428
s9n_256_128_3_x.c,446,229,245,228,252,429,425,426
s9n_256_128_4_y.c,431,239,231,253,252,422,420,444
s9n_256_16384_0_z.c,621,496,493,488,488,490,484,490
s9n_256_16384_2_x.c,619,495,495,495,497,495,492,494
s9n_256_16384_3_y.c,652,495,495,492,510,551,487,490
s9n_256_16384_4_z.c,610,473,482,521,485,492,485,489
s9n_256_2048_1_x.c,558,409,396,406,402,390,428,383
s9n_256_2048_2_y.c,571,400,405,395,399,429,379,372
s9n_256_2048_3_z.c,560,438,431,431,384,383,425,373
s9n_256_256_0_x.c,459,298,281,314,275,472,454,449
s9n_256_256_1_y.c,474,282,259,283,315,445,426,448
s9n_256_256_2_z.c,492,287,284,308,312,464,460,415
s9n_256_256_4_x.c,512,285,319,305,272,412,472,414
s9n_256_4096_0_y.c,533,385,396,385,388,388,437,382
s9n_256_4096_1_z.c,551,391,389,428,390,438,409,390
s9n_256_4096_3_x.c,572,423,399,385,388,428,402,431
s9n_256_4096_4_y.c,526,388,383,414,434,432,439,388
s9n_256_512_0_z.c,549,427,372,378,384,515,507,478
s9n_256_512_2_x.c,560,376,363,411,411,517,493,486
s9n_256_512_3_y.c,589,378,402,361,395,478,487,478
s9n_256_512_4_z.c,547,418,434,423,372,529,535,496
s9n_256_64_1_x.c,453,217,237,224,232,426,428,438
s9n_256_64_2_y.c,430,231,233,229,248,447,445,423
s9n_256_64_3_z.c,427,222,240,225,249,450,440,450
s9n_256_8192_0_x.c,551,447,431,430,437,394,407,393
s9n_256_8192_1_y.c,552,391,426,393,398,405,396,396
s9n_256_8192_2_z.c,570,395,413,443,403,395,398,394
s9n_256_8192_4_x.c,572,399,394,397,392,397,409,429
s9n_4096_1024_0_y.c,608,486,475,482,512,621,592,583
s9n_4096_1024_1_z.c,606,483,528,521,499,615,599,583
s9n_4096_1024_3_x.c,615,481,495,488,480,624,597,612
s9n_4096_1024_4_y.c,584,454,494,489,491,565,568,548
s9n_4096_128_0_z.c,479,300,299,308,299,476,450,445
s9n_4096_128_2_x.c,488,345,312,307,345,454,482,451
s9n_4096_128_3_y.c,472,298,302,346,304,459,479,456
s9n_4096_128_4_z.c,497,343,345,355,353,452,481,480
s9n_4096_16384_1_x.c,658,511,539,528,532,501,533,498
s9n_4096_16384_2_y.c,638,498,523,495,536,509,532,498
s9n_4096_16384_3_z.c,616,533,501,531,532,521,538,499
s9n_4096_2048_0_x.c,628,556,514,559,557,557,544,549
s9n_4096_2048_1_y.c,661,510,560,511,516,561,524,550
s9n_4096_2048_2_z.c,632,567,514,517,515,545,539,539
s9n_4096_2048_4_x.c,633,542,553,513,510,549,552,545
s9n_4096_256_0_y.c,537,334,366,369,335,491,478,523
s9n_4096_256_1_z.c,545,346,382,340,375,478,480,487
s9n_4096_256_3_x.c,549,377,337,368,376,516,474,516
s9n_4096_256_4_y.c,542,380,348,335,391,483,480,508
